recording,a,b,window_s,threshold,windows_total,speech_windows,agreeing_windows,agree_fraction_all,coverage_by_agreement,mean_wer,overall_wer,mean_ned,a_tokens,b_tokens
geo_2007_kikabidze_interview.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-76d56b0863da,gigaam-v3-e2e_rnnt__gigaam-v3-e2e_rnnt,30.0,0.5,52,52,49,0.9423,0.9423,0.2545,0.2363,0.2187,2793,2967
geo_2007_kikabidze_interview.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-76d56b0863da,mms-1b-all-rus__rus-3d33597edbda-tf5.13.1,30.0,0.5,52,52,26,0.5,0.5,0.5923,0.5736,0.5624,2793,2595
geo_2007_kikabidze_interview.flac,gigaam-v3-e2e_rnnt__gigaam-v3-e2e_rnnt,mms-1b-all-rus__rus-3d33597edbda-tf5.13.1,30.0,0.5,52,52,27,0.5192,0.5192,0.5545,0.5477,0.5517,2967,2595
kgz_18448_extremism_hospital.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-b366b6e981c7,mms-1b-all-kir__kir-3d33597edbda-tf5.13.1,30.0,0.5,63,63,0,0.0,0.0,1.0953,0.994,0.9108,3023,2988
kgz_18448_extremism_hospital.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-b366b6e981c7,whisper-small-kyrgyz-ct2__small-kyrgyz-ct2-kk-fw1.2.1,30.0,0.5,63,63,0,0.0,0.0,1.1726,1.0844,0.9067,3023,3496
kgz_18448_extremism_hospital.flac,whisper-small-kyrgyz-ct2__small-kyrgyz-ct2-kk-fw1.2.1,mms-1b-all-kir__kir-3d33597edbda-tf5.13.1,30.0,0.5,63,63,18,0.2857,0.2857,0.603,0.5821,0.5931,3496,2988
kgz_21138_japarov_broll.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-58f8920d30cd,mms-1b-all-kir__kir-3d33597edbda-tf5.13.1,30.0,0.5,147,147,0,0.0,0.0,1.7089,1.084,0.9355,7199,7587
kgz_21138_japarov_broll.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-58f8920d30cd,whisper-small-kyrgyz-ct2__small-kyrgyz-ct2-kk-fw1.2.1,30.0,0.5,147,147,0,0.0,0.0,2.4505,1.2021,0.9299,7199,9030
kgz_21138_japarov_broll.flac,whisper-small-kyrgyz-ct2__small-kyrgyz-ct2-kk-fw1.2.1,mms-1b-all-kir__kir-3d33597edbda-tf5.13.1,30.0,0.5,147,147,63,0.4286,0.4286,0.7589,0.5474,0.5684,9030,7587
kgz_29216_rahat_interview.wav,dir2mcp-whisper-large-v3-multi__large-v3-multi-22bf375577f5,mms-1b-all-kir__kir-3d33597edbda-tf5.13.1,30.0,0.5,62,62,0,0.0,0.0,1.1098,0.9595,0.9084,3404,3143
kgz_29216_rahat_interview.wav,dir2mcp-whisper-large-v3-multi__large-v3-multi-22bf375577f5,whisper-small-kyrgyz-ct2__small-kyrgyz-ct2-kk-fw1.2.1,30.0,0.5,62,62,0,0.0,0.0,1.2442,1.0485,0.8957,3404,3893
kgz_29216_rahat_interview.wav,whisper-small-kyrgyz-ct2__small-kyrgyz-ct2-kk-fw1.2.1,mms-1b-all-kir__kir-3d33597edbda-tf5.13.1,30.0,0.5,62,62,21,0.3387,0.3387,0.5824,0.5759,0.5749,3893,3143
rus_28974_shalygina_interview.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-dbe07da33c68,gigaam-v3-e2e_rnnt__gigaam-v3-e2e_rnnt,30.0,0.5,58,58,49,0.8448,0.8448,0.3701,0.2955,0.2831,3154,3528
rus_28974_shalygina_interview.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-dbe07da33c68,mms-1b-all-rus__rus-3d33597edbda-tf5.13.1,30.0,0.5,58,58,22,0.3793,0.3793,0.6112,0.5602,0.5721,3154,2865
rus_28974_shalygina_interview.flac,gigaam-v3-e2e_rnnt__gigaam-v3-e2e_rnnt,mms-1b-all-rus__rus-3d33597edbda-tf5.13.1,30.0,0.5,58,58,22,0.3793,0.3793,0.5893,0.5417,0.5764,3528,2865
ukr_0652_filaret_programme.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-6876a1b269fe,mms-1b-all-ukr__ukr-3d33597edbda-tf5.13.1,30.0,0.5,67,67,64,0.9552,0.9552,0.274,0.2704,0.2712,2755,2620
ukr_1108_kravchuk_interview.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-5ce9e2685163,gigaam-v3-e2e_rnnt__gigaam-v3-e2e_rnnt,30.0,0.5,62,62,61,0.9839,0.9839,0.2084,0.2003,0.1894,2920,3055
ukr_1108_kravchuk_interview.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-5ce9e2685163,mms-1b-all-rus__rus-3d33597edbda-tf5.13.1,30.0,0.5,62,62,47,0.7581,0.7581,0.4168,0.4202,0.4117,2920,2597
ukr_1108_kravchuk_interview.flac,gigaam-v3-e2e_rnnt__gigaam-v3-e2e_rnnt,mms-1b-all-rus__rus-3d33597edbda-tf5.13.1,30.0,0.5,62,62,46,0.7419,0.7419,0.4403,0.4468,0.4382,3055,2597
ukr_18126_kuleba_interview.flac,dir2mcp-whisper-large-v3-multi__large-v3-multi-6a821246c5cc,mms-1b-all-ukr__ukr-3d33597edbda-tf5.13.1,30.0,0.5,55,55,34,0.6182,0.6182,0.5559,0.5811,0.5409,3263,2696
